qual	method	off	on
44	real_R1	0.0372117129354	0.552881829832
44	bsmap	0.08141295236	0.611074087893
44	bsmooth	0.0	0.0
45	bwa	0.0833805614227	0.738087964991
45	gsnap	0.0	0.0
45	last	0.0916508088735	0.74457122548
45	bis1	0.0743589003185	0.561841289293
45	bis2	0.0851252235773	0.628742865229
45	real_R1	0.0	0.0
45	bsmap	0.08141295236	0.611074087893
45	bsmooth	0.0	0.0
46	bwa	0.0822858026084	0.736657969974
46	gsnap	0.0	0.0
46	last	0.0908258707019	0.743341877736
46	bis1	0.0743589003185	0.561841289293
46	bis2	0.0851252235773	0.628742865229
46	real_R1	0.0	0.0
46	bsmap	0.08141295236	0.611074087893
46	bsmooth	0.0	0.0
47	bwa	0.0820280959582	0.736296676326
47	gsnap	0.0	0.0
47	last	0.090555011717	0.742923870825
47	bis1	0.0743589003185	0.561841289293
47	bis2	0.0851252235773	0.628742865229
47	real_R1	0.0	0.0
47	bsmap	0.08141295236	0.611074087893
47	bsmooth	0.0	0.0
48	bwa	0.0816379759526	0.735800150965
48	gsnap	0.0	0.0
48	last	0.090147437673	0.742322967349
48	bis1	0.0743589003185	0.561841289293
48	bis2	0.0851252235773	0.628742865229
48	real_R1	0.0	0.0
48	bsmap	0.08141295236	0.611074087893
48	bsmooth	0.0	0.0
49	bwa	0.081270600586	0.73529596165
49	gsnap	0.0	0.0
49	last	0.0887647613944	0.740509082379
49	bis1	0.0743589003185	0.561841289293
49	bis2	0.0851252235773	0.628742865229
49	real_R1	0.0	0.0
49	bsmap	0.08141295236	0.611074087893
49	bsmooth	0.0	0.0
50	bwa	0.08077229521	0.734578121061
50	gsnap	0.0	0.0
50	last	0.0886532632179	0.740303045616
50	bis1	0.0743589003185	0.561841289293
50	bis2	0.0851252235773	0.628742865229
50	real_R1	0.0	0.0
50	bsmap	0.08141295236	0.611074087893
50	bsmooth	0.0	0.0
51	bwa	0.0801394503491	0.733737508867
51	gsnap	0.0	0.0
51	last	0.0885072030789	0.740071297521
51	bis1	0.0743589003185	0.561841289293
51	bis2	0.0851252235773	0.628742865229
51	real_R1	0.0	0.0
51	bsmap	0.08141295236	0.611074087893
51	bsmooth	0.0	0.0
52	bwa	0.0794273453654	0.732751775985
52	gsnap	0.0	0.0
52	last	0.0882755044291	0.739731858505
52	bis1	0.0743589003185	0.561841289293
52	bis2	0.0851252235773	0.628742865229
52	real_R1	0.0	0.0
52	bsmap	0.08141295236	0.611074087893
52	bsmooth	0.0	0.0
53	bwa	0.0779311436707	0.730900214027
53	gsnap	0.0	0.0
53	last	0.0881650445948	0.739537540175
53	bis1	0.0743589003185	0.561841289293
53	bis2	0.0851252235773	0.628742865229
53	real_R1	0.0	0.0
53	bsmap	0.08141295236	0.611074087893
53	bsmooth	0.0	0.0
54	bwa	0.0777119545724	0.730480278766
54	gsnap	0.0	0.0
54	last	0.0880051398929	0.739296595335
54	bis1	0.0743589003185	0.561841289293
54	bis2	0.0851252235773	0.628742865229
54	real_R1	0.0	0.0
54	bsmap	0.08141295236	0.611074087893
54	bsmooth	0.0	0.0
55	bwa	0.0774796625843	0.73008862597
55	gsnap	0.0	0.0
55	last	0.0877352203604	0.738924324927
55	bis1	0.0743589003185	0.561841289293
55	bis2	0.0851252235773	0.628742865229
55	real_R1	0.0	0.0
55	bsmap	0.08141295236	0.611074087893
55	bsmooth	0.0	0.0
56	bwa	0.0771276645716	0.729548440791
56	gsnap	0.0	0.0
56	last	0.0876076526019	0.738708102521
56	bis1	0.0743589003185	0.561841289293
56	bis2	0.0851252235773	0.628742865229
56	real_R1	0.0	0.0
56	bsmap	0.08141295236	0.611074087893
56	bsmooth	0.0	0.0
57	bwa	0.0769843239003	0.729252513258
57	gsnap	0.0	0.0
57	last	0.0874493301358	0.738457515931
57	bis1	0.0743589003185	0.561841289293
57	bis2	0.0851252235773	0.628742865229
57	real_R1	0.0	0.0
57	bsmap	0.08141295236	0.611074087893
57	bsmooth	0.0	0.0
58	bwa	0.0767956422854	0.728841428628
58	gsnap	0.0	0.0
58	last	0.0872181753796	0.738110264626
58	bis1	0.0743589003185	0.561841289293
58	bis2	0.0851252235773	0.628742865229
58	real_R1	0.0	0.0
58	bsmap	0.08141295236	0.611074087893
58	bsmooth	0.0	0.0
59	bwa	0.0766083945716	0.72847098768
59	gsnap	0.0	0.0
59	last	0.0870750324878	0.737882917125
59	bis1	0.0743589003185	0.561841289293
59	bis2	0.0851252235773	0.628742865229
59	real_R1	0.0	0.0
59	bsmap	0.08141295236	0.611074087893
59	bsmooth	0.0	0.0
60	bwa	0.0764064617322	0.728066281438
60	gsnap	0.0	0.0
60	last	0.0869026676792	0.737615865394
60	bis1	0.0743589003185	0.561841289293
60	bis2	0.0851252235773	0.628742865229
60	real_R1	0.0	0.0
60	bsmap	0.08141295236	0.611074087893
60	bsmooth	0.0	0.0
61	bwa	0.0	0.0
61	gsnap	0.0	0.0
61	last	0.0865922528001	0.737217488096
61	bis1	0.0743589003185	0.561841289293
61	bis2	0.0851252235773	0.628742865229
61	real_R1	0.0	0.0
61	bsmap	0.08141295236	0.611074087893
61	bsmooth	0.0	0.0
62	bwa	0.0	0.0
62	gsnap	0.0	0.0
62	last	0.0864292330715	0.736975949917
62	bis1	0.0743589003185	0.561841289293
62	bis2	0.0851252235773	0.628742865229
62	real_R1	0.0	0.0
62	bsmap	0.08141295236	0.611074087893
62	bsmooth	0.0	0.0
63	bwa	0.0	0.0
63	gsnap	0.0	0.0
63	last	0.0862395625593	0.736690554141
63	bis1	0.0743589003185	0.561841289293
63	bis2	0.0851252235773	0.628742865229
63	real_R1	0.0	0.0
63	bsmap	0.08141295236	0.611074087893
63	bsmooth	0.0	0.0
64	bwa	0.0	0.0
64	gsnap	0.0	0.0
64	last	0.0859575784791	0.736260284903
64	bis1	0.0743589003185	0.561841289293
64	bis2	0.0851252235773	0.628742865229
64	real_R1	0.0	0.0
64	bsmap	0.08141295236	0.611074087893
64	bsmooth	0.0	0.0
65	bwa	0.0	0.0
65	gsnap	0.0	0.0
65	last	0.0857937181878	0.735996595424
65	bis1	0.0743589003185	0.561841289293
65	bis2	0.0851252235773	0.628742865229
65	real_R1	0.0	0.0
65	bsmap	0.08141295236	0.611074087893
65	bsmooth	0.0	0.0
66	bwa	0.0	0.0
66	gsnap	0.0	0.0
66	last	0.0855656290134	0.735647217989
66	bis1	0.0743589003185	0.561841289293
66	bis2	0.0851252235773	0.628742865229
66	real_R1	0.0	0.0
66	bsmap	0.08141295236	0.611074087893
66	bsmooth	0.0	0.0
67	bwa	0.0	0.0
67	gsnap	0.0	0.0
67	last	0.0851860902094	0.735100555533
67	bis1	0.0743589003185	0.561841289293
67	bis2	0.0851252235773	0.628742865229
67	real_R1	0.0	0.0
67	bsmap	0.08141295236	0.611074087893
67	bsmooth	0.0	0.0
68	bwa	0.0	0.0
68	gsnap	0.0	0.0
68	last	0.085003935317	0.734819065901
68	bis1	0.0743589003185	0.561841289293
68	bis2	0.0851252235773	0.628742865229
68	real_R1	0.0	0.0
68	bsmap	0.08141295236	0.611074087893
68	bsmooth	0.0	0.0
69	bwa	0.0	0.0
