qual	method	off	on
31	bis2	0.000581	0.850766
31	bsmooth	0.0038225	0.859467
31	bis1	0.010036	0.861851
31	last	0.0011435	0.888963
32	bwa	3.25e-05	0.8884265
32	sim_R1.trim	0.000192	0.773547
32	bsmap	0.004633	0.9078105
32	gsnap	0.002674	0.9120395
32	bis2	0.000581	0.850766
32	bsmooth	0.0035855	0.849104
32	bis1	0.010036	0.861851
32	last	0.001136	0.8888095
33	bwa	3.25e-05	0.888244
33	sim_R1.trim	0.000192	0.771229
33	bsmap	0.004633	0.9078105
33	gsnap	0.002674	0.9120395
33	bis2	0.000581	0.850766
33	bsmooth	0.003466	0.8396195
33	bis1	0.010036	0.861851
33	last	0.0011165	0.8886315
34	bwa	3.25e-05	0.886384
34	sim_R1.trim	0.000192	0.761261
34	bsmap	0.004633	0.9078105
34	gsnap	0.002674	0.9120395
34	bis2	0.000581	0.850766
34	bsmooth	0.003462	0.8392355
34	bis1	0.010036	0.861851
34	last	0.0010905	0.8882615
35	bwa	3.15e-05	0.886035
35	sim_R1.trim	0.000191	0.745331
35	bsmap	0.004633	0.9078105
35	gsnap	0.002674	0.9120395
35	bis2	0.000581	0.850766
35	bsmooth	0.00338	0.830551
35	bis1	0.010036	0.861851
35	last	0.001076	0.888074
36	bwa	3.15e-05	0.885712
36	sim_R1.trim	0.000191	0.736292
36	bsmap	0.004633	0.9078105
36	gsnap	0.002674	0.9120395
36	bis2	0.000581	0.850766
36	bsmooth	0.003326	0.824217
36	bis1	0.010036	0.861851
36	last	0.001052	0.8878315
37	bwa	3.1e-05	0.8853775
37	sim_R1.trim	9.5e-05	0.736272
37	bsmap	0.004633	0.9078105
37	gsnap	0.002674	0.9120395
37	bis2	0.000581	0.850766
37	bsmooth	0.0032895	0.818481
37	bis1	0.010036	0.861851
37	last	0.0010365	0.887385
38	bwa	3e-05	0.8849215
38	sim_R1.trim	5.9e-05	0.721788
38	bsmap	0.004633	0.9078105
38	gsnap	0.002674	0.9120395
38	bis2	0.000581	0.850766
38	bsmooth	0.0032535	0.81198
38	bis1	0.010036	0.861851
38	last	0.001017	0.8871305
39	bwa	3e-05	0.884587
39	sim_R1.trim	3.8e-05	0.705541
39	bsmap	0.004633	0.9078105
39	gsnap	0.002674	0.9120395
39	bis2	0.000581	0.850766
39	bsmooth	0.0032335	0.8068905
39	bis1	0.010036	0.861851
39	last	0.000995	0.886795
40	bwa	2.85e-05	0.884029
40	sim_R1.trim	2.5e-05	0.689051
40	bsmap	0.004633	0.9078105
40	gsnap	0.0	0.0
40	bis2	0.000581	0.850766
40	bsmooth	0.0032285	0.804297
40	bis1	0.010036	0.861851
40	last	0.0009745	0.8862685
41	bwa	7e-06	0.8592885
41	sim_R1.trim	2.5e-05	0.651886
