qual	method	off	on
31	bsmooth	0.003233	0.8234905
31	bis1	0.00943	0.844797
31	last	0.003071	0.8937775
32	bwa	4.2e-05	0.89233
32	sim_R1	0.000255	0.729439
32	bsmap	0.005684	0.905166
32	gsnap	0.0045975	0.9147665
32	bis2	0.0026475	0.8302995
32	bsmooth	0.003169	0.8204675
32	bis1	0.00943	0.844797
32	last	0.0030215	0.893554
33	bwa	4.2e-05	0.8921595
33	sim_R1	0.000255	0.728084
33	bsmap	0.005684	0.905166
33	gsnap	0.0045975	0.9147665
33	bis2	0.0026475	0.8302995
33	bsmooth	0.00314	0.817858
33	bis1	0.00943	0.844797
33	last	0.0029725	0.8933335
34	bwa	4.1e-05	0.8903165
34	sim_R1	0.000255	0.724968
34	bsmap	0.005684	0.905166
34	gsnap	0.0045975	0.9147665
34	bis2	0.0026475	0.8302995
34	bsmooth	0.0031305	0.8165955
34	bis1	0.00943	0.844797
34	last	0.0029185	0.8929755
35	bwa	4.1e-05	0.889986
35	sim_R1	0.000255	0.720017
35	bsmap	0.005684	0.905166
35	gsnap	0.0045975	0.9147665
35	bis2	0.0026475	0.8302995
35	bsmooth	0.0031035	0.8143005
35	bis1	0.00943	0.844797
35	last	0.0028795	0.8927315
36	bwa	4.1e-05	0.8896715
36	sim_R1	0.000255	0.717105
36	bsmap	0.005684	0.905166
36	gsnap	0.0045975	0.9147665
36	bis2	0.0026475	0.8302995
36	bsmooth	0.00309	0.8121405
36	bis1	0.00943	0.844797
36	last	0.0028275	0.8924605
37	bwa	4.1e-05	0.889371
37	sim_R1	0.000127	0.717084
37	bsmap	0.005684	0.905166
37	gsnap	0.0045975	0.9147665
37	bis2	0.0026475	0.8302995
37	bsmooth	0.003083	0.810426
37	bis1	0.00943	0.844797
37	last	0.0027785	0.8920155
38	bwa	4e-05	0.888948
38	sim_R1	8.2e-05	0.701268
38	bsmap	0.005684	0.905166
38	gsnap	0.0045975	0.9147665
38	bis2	0.0026475	0.8302995
38	bsmooth	0.0030745	0.808329
38	bis1	0.00943	0.844797
38	last	0.002739	0.891686
39	bwa	4e-05	0.888658
39	sim_R1	5.7e-05	0.684249
39	bsmap	0.005684	0.905166
39	gsnap	0.0045975	0.9147665
39	bis2	0.0026475	0.8302995
39	bsmooth	0.0030715	0.8068265
39	bis1	0.00943	0.844797
39	last	0.00269	0.8913255
40	bwa	3.85e-05	0.8881015
40	sim_R1	4.7e-05	0.666054
40	bsmap	0.005684	0.905166
40	gsnap	0.0	0.0
40	bis2	0.0026475	0.8302995
40	bsmooth	0.0030675	0.805844
40	bis1	0.00943	0.844797
40	last	0.0026375	0.8908215
41	bwa	3.5e-06	0.865245
41	sim_R1	2.8e-05	0.628648
41	bsmap	0.005684	0.905166
41	gsnap	0.0	0.0
41	bis2	0.0026475	0.8302995
41	bsmooth	0.0023835	0.805802
41	bis1	0.00943	0.844797
41	last	0.0025885	0.8904255
